Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
JamTangan,Chrome 126.0.0.0,,,23-07-2024 10:33:20,23-07-2024 10:35:42,2m - 22.707s,FAILED
,,,,,,,
Test Cases/Login,Chrome 126.0.0.0,,,23-07-2024 10:33:20,23-07-2024 10:33:40,19.735s,PASSED
openBrowser(url),Chrome 126.0.0.0,,,23-07-2024 10:33:21,23-07-2024 10:33:28,7.040s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,23-07-2024 10:33:28,23-07-2024 10:33:28,0.077s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:33:28,23-07-2024 10:33:29,1.398s,PASSED
"setText(findTestObject(""Login/username""), email)",Chrome 126.0.0.0,,,23-07-2024 10:33:29,23-07-2024 10:33:30,0.938s,PASSED
"setEncryptedText(findTestObject(""Login/password""), password)",Chrome 126.0.0.0,,,23-07-2024 10:33:30,23-07-2024 10:33:31,0.594s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:33:31,23-07-2024 10:33:32,1.004s,PASSED
"click(findTestObject(""Login/button_masuk""))",Chrome 126.0.0.0,,,23-07-2024 10:33:32,23-07-2024 10:33:32,0.360s,PASSED
"verifyElementText(findTestObject(""Login/verify_login""), verify)",Chrome 126.0.0.0,,,23-07-2024 10:33:32,23-07-2024 10:33:36,4.158s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:33:36,23-07-2024 10:33:40,3.612s,PASSED
,,,,,,,
Test Cases/Login,Chrome 126.0.0.0,,,23-07-2024 10:33:40,23-07-2024 10:34:21,41.593s,FAILED
openBrowser(url),Chrome 126.0.0.0,,,23-07-2024 10:33:40,23-07-2024 10:33:45,5.554s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,23-07-2024 10:33:45,23-07-2024 10:33:46,0.119s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:33:46,23-07-2024 10:33:47,1.105s,PASSED
"setText(findTestObject(""Login/username""), email)",Chrome 126.0.0.0,,,23-07-2024 10:33:47,23-07-2024 10:33:48,1.270s,PASSED
"setEncryptedText(findTestObject(""Login/password""), password)",Chrome 126.0.0.0,,,23-07-2024 10:33:48,23-07-2024 10:33:49,0.658s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:33:49,23-07-2024 10:33:50,1.063s,PASSED
"click(findTestObject(""Login/button_masuk""))",Chrome 126.0.0.0,,,23-07-2024 10:33:50,23-07-2024 10:33:50,0.409s,PASSED
"verifyElementText(findTestObject(""Login/verify_login""), verify)",Chrome 126.0.0.0,,,23-07-2024 10:33:50,23-07-2024 10:34:21,31.371s,FAILED
,,,,,,,
Test Cases/Login,Chrome 126.0.0.0,,,23-07-2024 10:34:21,23-07-2024 10:35:02,40.119s,FAILED
openBrowser(url),Chrome 126.0.0.0,,,23-07-2024 10:34:21,23-07-2024 10:34:26,4.592s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,23-07-2024 10:34:26,23-07-2024 10:34:26,0.062s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:34:26,23-07-2024 10:34:27,1.049s,PASSED
"setText(findTestObject(""Login/username""), email)",Chrome 126.0.0.0,,,23-07-2024 10:34:27,23-07-2024 10:34:28,0.812s,PASSED
"setEncryptedText(findTestObject(""Login/password""), password)",Chrome 126.0.0.0,,,23-07-2024 10:34:28,23-07-2024 10:34:29,0.745s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:34:29,23-07-2024 10:34:30,1.008s,PASSED
"click(findTestObject(""Login/button_masuk""))",Chrome 126.0.0.0,,,23-07-2024 10:34:30,23-07-2024 10:34:30,0.393s,PASSED
"verifyElementText(findTestObject(""Login/verify_login""), verify)",Chrome 126.0.0.0,,,23-07-2024 10:34:30,23-07-2024 10:35:02,31.429s,FAILED
,,,,,,,
Test Cases/Payment,Chrome 126.0.0.0,,,23-07-2024 10:35:02,23-07-2024 10:35:42,40.842s,PASSED
"callTestCase(findTestCase(""AddItem""), [""search"":""fossil""], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,23-07-2024 10:35:02,23-07-2024 10:35:37,34.921s,PASSED
"click(findTestObject(""Payment/pilihPengiriman""))",Chrome 126.0.0.0,,,23-07-2024 10:35:37,23-07-2024 10:35:37,0.382s,PASSED
"click(findTestObject(""Payment/selectPengiriman""))",Chrome 126.0.0.0,,,23-07-2024 10:35:37,23-07-2024 10:35:38,0.650s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:35:38,23-07-2024 10:35:38,0.563s,PASSED
"click(findTestObject(""Payment/button_pilihPembayaran""))",Chrome 126.0.0.0,,,23-07-2024 10:35:38,23-07-2024 10:35:39,0.387s,PASSED
"click(findTestObject(""Payment/select_payment""))",Chrome 126.0.0.0,,,23-07-2024 10:35:39,23-07-2024 10:35:41,2.497s,PASSED
"click(findTestObject(""Payment/select_Bank""))",Chrome 126.0.0.0,,,23-07-2024 10:35:41,23-07-2024 10:35:42,0.696s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,23-07-2024 10:35:42,23-07-2024 10:35:42,0.563s,PASSED
